subject,trial,image,time,Fixation POG X,Fixation POG Y,Fixation POG time since calibration,Fixation POG duration,Fixation POG ID,Valid POG fixation?,Best POG X,Best POG Y,Valid Best POG fixation?
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.54916,0.50676,0.63006,10.89202,0.65713,3709,1,0.55139,0.63575,1
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.56578,0.50782,0.63020,10.89202,0.67375,3709,1,0.55139,0.63575,1
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.58232,0.50777,0.62837,10.89202,0.69029,3709,1,0.50566,0.55175,1
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.59882,0.50777,0.62742,10.89202,0.70679,3709,1,0.50749,0.58654,1
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.61515,0.51099,0.59953,10.89202,0.70679,3709,0,0.50749,0.58654,1
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.63165,0.51696,0.61927,10.89202,0.70679,3709,0,0.52294,0.63901,1
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.64810,0.51804,0.63002,10.89202,0.70679,3709,0,0.52020,0.65153,1
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.66449,0.51858,0.63540,11.61515,0.04935,3710,1,0.52020,0.65153,1
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.68090,0.52162,0.64112,11.61515,0.06575,3710,1,0.53378,0.66400,1
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.69739,0.52046,0.64733,11.61515,0.08224,3710,1,0.51466,0.67838,1
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.71375,0.51963,0.65177,11.61515,0.09861,3710,1,0.51466,0.67838,1
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.73018,0.52174,0.64256,11.61515,0.11503,3710,1,0.53649,0.57811,1
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.74667,0.52168,0.64109,11.61515,0.13153,3710,1,0.52117,0.62933,1
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.76303,0.52163,0.63991,11.61515,0.14789,3710,1,0.52117,0.62933,1
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.77951,0.52113,0.63723,11.61515,0.16436,3710,1,0.51618,0.61044,1
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.79597,0.52110,0.63558,11.61515,0.18083,3710,1,0.52081,0.61732,1
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.81238,0.52108,0.63417,11.61515,0.19724,3710,1,0.52081,0.61732,1
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.82862,0.52159,0.63374,11.61515,0.21348,3710,1,0.52813,0.62819,1
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.84524,0.52105,0.63296,11.61515,0.23010,3710,1,0.51349,0.62200,1
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.86165,0.52057,0.63228,11.61515,0.24651,3710,1,0.51349,0.62200,1
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.87795,0.52071,0.63398,11.61515,0.26280,3710,1,0.52297,0.66132,1
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.89454,0.52080,0.63545,11.61515,0.27939,3710,1,0.52227,0.66037,1
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.91093,0.52088,0.63676,11.61515,0.29579,3710,1,0.52227,0.66037,1
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.92726,0.52103,0.63884,11.61515,0.31212,3710,1,0.52401,0.67833,1
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.94375,0.52070,0.63827,11.61515,0.32860,3710,1,0.51402,0.62692,1
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.96006,0.52040,0.63776,11.61515,0.34491,3710,1,0.51402,0.62692,1
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.97660,0.51943,0.63909,11.61515,0.36145,3710,1,0.49816,0.66837,1
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,11.99295,0.51910,0.63942,11.61515,0.37780,3710,1,0.51151,0.64706,1
